GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,UnicodeUnescaper,119,0,16,0,17,0,10,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,OctalUnescaper,70,0,12,0,13,0,9,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,AggregateTranslator,37,0,4,0,8,0,4,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,CharSequenceTranslator,111,0,12,0,30,0,11,0,5,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,50,0,0,0,8,0,6,0,6,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,LookupTranslator,107,0,14,0,25,0,9,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,CodePointTranslator,18,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,NumericEntityEscaper,76,0,10,0,20,0,12,0,7,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,UnicodeEscaper,140,0,18,0,27,0,17,0,8,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,EntityArrays,3450,0,2,0,26,0,14,0,13,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,205,0,48,0,41,0,27,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,34,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,org.apache.commons.lang3,LocaleUtils,39,445,6,64,3,88,6,39,0,10
JaCoCo Coverage Report,org.apache.commons.lang3,EnumUtils,365,0,26,0,68,0,26,0,13,0
JaCoCo Coverage Report,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,66,0,4,0,11,0,5,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharSet,301,0,34,0,60,0,26,0,9,0
JaCoCo Coverage Report,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,85,0,2,0,22,0,4,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3,RandomStringUtils,282,0,56,0,58,0,41,0,13,0
JaCoCo Coverage Report,org.apache.commons.lang3,Range,438,0,78,0,91,0,63,0,24,0
JaCoCo Coverage Report,org.apache.commons.lang3,Conversion,3086,0,456,0,521,0,302,0,44,0
JaCoCo Coverage Report,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},83,0,8,0,25,0,7,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3,BitField,150,0,14,0,27,0,25,0,18,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharUtils,302,0,74,0,58,0,61,0,24,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharRange,241,0,50,0,44,0,39,0,14,0
JaCoCo Coverage Report,org.apache.commons.lang3,AnnotationUtils,503,0,92,0,114,0,57,0,11,0
JaCoCo Coverage Report,org.apache.commons.lang3,LocaleUtils.SyncAvoid,0,19,0,0,0,5,0,2,0,2
JaCoCo Coverage Report,org.apache.commons.lang3,CharRange.CharacterIterator,130,0,18,0,30,0,14,0,5,0
JaCoCo Coverage Report,org.apache.commons.lang3,ClassUtils,1181,0,230,0,299,0,156,0,41,0
JaCoCo Coverage Report,org.apache.commons.lang3,JavaVersion,308,0,32,0,57,0,24,0,8,0
JaCoCo Coverage Report,org.apache.commons.lang3,BooleanUtils,799,0,256,0,190,0,170,0,40,0
JaCoCo Coverage Report,org.apache.commons.lang3,Validate,591,0,86,0,116,0,82,0,39,0
JaCoCo Coverage Report,org.apache.commons.lang3,ArrayUtils,5154,0,1064,0,1244,0,756,0,224,0
JaCoCo Coverage Report,org.apache.commons.lang3,ObjectUtils,559,0,82,0,128,0,73,0,32,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharEncoding,13,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3,Range.ComparableComparator,19,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,87,0,8,0,13,0,7,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3,SerializationException,16,0,0,0,8,0,4,0,4,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharSequenceUtils,152,0,28,0,35,0,22,0,8,0
JaCoCo Coverage Report,org.apache.commons.lang3,ObjectUtils.Null,5,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3,StringEscapeUtils,435,0,0,0,47,0,14,0,14,0
JaCoCo Coverage Report,org.apache.commons.lang3,CharSetUtils,190,0,40,0,46,0,27,0,7,0
JaCoCo Coverage Report,org.apache.commons.lang3,SystemUtils,376,0,40,0,101,0,35,0,15,0
JaCoCo Coverage Report,org.apache.commons.lang3,StringUtils,5347,0,1209,0,1345,0,786,0,181,0
JaCoCo Coverage Report,org.apache.commons.lang3,SerializationUtils,150,0,14,0,50,0,13,0,6,0
JaCoCo Coverage Report,org.apache.commons.lang3.reflect,TypeUtils,1400,0,282,0,299,0,169,0,28,0
JaCoCo Coverage Report,org.apache.commons.lang3.reflect,MemberUtils,219,0,44,0,45,0,31,0,9,0
JaCoCo Coverage Report,org.apache.commons.lang3.reflect,FieldUtils,571,0,66,0,130,0,62,0,29,0
JaCoCo Coverage Report,org.apache.commons.lang3.reflect,ConstructorUtils,167,0,30,0,50,0,23,0,8,0
JaCoCo Coverage Report,org.apache.commons.lang3.reflect,MethodUtils,387,0,66,0,107,0,47,0,14,0
JaCoCo Coverage Report,org.apache.commons.lang3.event,EventUtils,109,0,0,0,17,0,3,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,25,0,2,0,5,0,3,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.event,EventListenerSupport,184,0,2,0,46,0,15,0,14,0
JaCoCo Coverage Report,org.apache.commons.lang3.event,EventUtils.EventBindingInvocationHandler,60,0,8,0,11,0,7,0,3,0
JaCoCo Coverage Report,org.apache.commons.lang3.math,IEEE754rUtils,223,0,40,0,57,0,33,0,13,0
JaCoCo Coverage Report,org.apache.commons.lang3.math,NumberUtils,1477,0,334,0,371,0,217,0,49,0
JaCoCo Coverage Report,org.apache.commons.lang3.math,Fraction,1306,0,196,0,281,0,133,0,35,0
JaCoCo Coverage Report,org.apache.commons.lang3.concurrent,ConstantInitializer,57,0,6,0,14,0,9,0,6,0
JaCoCo Coverage Report,org.apache.commons.lang3.concurrent,BackgroundInitializer.InitializationTask,21,0,2,0,6,0,3,0,2,0
JaCoCo Coverage Report,org.apache.commons.lang3.concurrent,BasicThreadFactory.Builder,77,0,6,0,26,0,11,0,8,0
